Num_Lot;Date_Pesee;Pds_Carcasse;Pds_Decoupe;Classe;Espece;Balance
LOT-2026-01046;2026-05-19;397,0;178,7;E2;bovin;bizerba
LOT-2026-01047;2026-02-12;336,9;168,4;R2;bovin;bizerba
LOT-2026-01048;2026-01-16;303,0;166,7;E1;bovin;bizerba
LOT-2026-01049;2026-04-27;319,9;150,4;O3;bovin;bizerba
LOT-2026-01050;2026-05-23;372,7;193,8;R2;bovin;bizerba
LOT-2026-01051;2026-01-15;361,1;158,9;R3;bovin;bizerba
LOT-2026-01052;2026-01-13;361,8;177,3;R3;bovin;bizerba
LOT-2026-01053;2026-01-15;414,5;223,8;E2;bovin;bizerba
LOT-2026-01054;2026-01-18;98,6;78,2;E;porc;bizerba
LOT-2026-01055;2026-05-26;314,5;144,7;O1;bovin;bizerba
LOT-2026-01056;2026-06-18;95,4;75,1;O;porc;bizerba
LOT-2026-01057;2026-06-21;380,3;194,0;U1;bovin;bizerba
LOT-2026-01058;2026-06-15;85,5;71,0;U;porc;bizerba
LOT-2026-01059;2026-01-03;344,2;192,8;O1;bovin;bizerba
LOT-2026-01060;2026-02-24;92,7;76,9;E;porc;bizerba
LOT-2026-01061;2026-03-04;331,7;159,2;E3;bovin;bizerba
LOT-2026-01062;2026-03-19;365,6;193,8;P1;bovin;bizerba
LOT-2026-01063;2026-05-22;85,5;79,6;S;porc;bizerba
LOT-2026-01064;2026-01-30;106,1;82,3;O;porc;bizerba
LOT-2026-01065;2026-02-23;380,5;237,8;U1;bovin;bizerba
LOT-2026-01066;2026-05-10;348,4;174,2;P2;bovin;bizerba
LOT-2026-01067;2026-03-12;286,2;157,4;U3;bovin;bizerba
LOT-2026-01068;2026-03-09;302,6;142,2;R2;bovin;bizerba
LOT-2026-01069;2026-01-03;295,7;153,8;O3;bovin;bizerba
LOT-2026-01070;2026-04-05;361,6;159,1;E3;bovin;bizerba
LOT-2026-01071;2026-04-04;106,5;98,8;S;porc;bizerba
LOT-2026-01072;2026-03-05;98,3;80,6;U;porc;bizerba
LOT-2026-01073;2026-04-15;416,3;204,0;O3;bovin;bizerba
LOT-2026-01074;2026-02-11;416,7;225,0;P1;bovin;bizerba
LOT-2026-01075;2026-02-15;383,1;176,2;U3;bovin;bizerba
LOT-2026-01076;2026-06-21;401,0;204,5;P1;bovin;bizerba
LOT-2026-01077;2026-06-29;78,8;72,9;S;porc;bizerba
LOT-2026-01078;2026-04-28;87,2;68,1;E;porc;bizerba
LOT-2026-01079;2026-04-13;326,0;182,6;P2;bovin;bizerba
LOT-2026-01080;2026-03-31;369,8;177,5;R1;bovin;bizerba
LOT-2026-01081;2026-03-26;411,5;218,1;E2;bovin;bizerba
LOT-2026-01082;2026-05-29;414,8;186,7;U2;bovin;bizerba
LOT-2026-01083;2026-03-30;382,0;191,0;U3;bovin;bizerba
LOT-2026-01084;2026-01-30;333,9;183,6;O1;bovin;bizerba
LOT-2026-01085;2026-04-22;75,1;61,1;O;porc;bizerba
LOT-2026-01086;2026-06-21;307,6;144,6;ZZ9;bovin;bizerba
LOT-2026-01087;2026-03-26;367,2;190,9;O2;bovin;bizerba
LOT-2026-01088;2026-03-18;351,0;154,4;O2;bovin;bizerba
LOT-2026-01089;2026-03-17;357,6;175,2;U1;bovin;bizerba
LOT-2026-01090;2026-06-23;384,7;207,7;E3;bovin;bizerba
LOT-2026-01091;2026-05-21;396,7;182,5;U2;bovin;bizerba
LOT-2026-01092;2026-05-29;364,9;186,1;U3;bovin;bizerba
LOT-2026-01093;2026-02-24;351,6;196,9;P1;bovin;bizerba
LOT-2026-01094;2026-02-13;372,2;178,7;U2;bovin;bizerba
LOT-2026-01095;2026-03-27;293,1;155,3;P1;bovin;bizerba
LOT-2026-01096;2026-02-20;300,6;135,3;E1;bovin;bizerba
LOT-2026-01097;2026-01-19;343,8;171,9;O2;bovin;bizerba
LOT-2026-01098;2026-04-09;349,2;192,1;U1;bovin;bizerba
LOT-2026-01099;2026-01-28;389,0;182,8;U1;bovin;bizerba
LOT-2026-01100;2026-05-13;345,0;179,4;R3;bovin;bizerba
LOT-2026-01101;2026-04-27;298,7;131,4;R2;bovin;bizerba
LOT-2026-01102;2026-06-02;324,4;159,0;P1;bovin;bizerba
LOT-2026-01103;2026-05-10;339,7;183,4;R3;bovin;bizerba
LOT-2026-01104;2026-05-02;90,8;74,8;E;porc;bizerba
LOT-2026-01105;2026-05-14;347,8;160,0;U1;bovin;bizerba
LOT-2026-01106;2026-03-15;83,2;65,5;U;porc;bizerba
LOT-2026-01107;2026-02-05;301,1;153,6;R1;bovin;bizerba
LOT-2026-01108;2026-01-17;338,1;113,3;U3;bovin;bizerba
LOT-2026-01109;2026-02-22;396,6;190,4;R1;bovin;bizerba
LOT-2026-01110;2026-06-28;282,7;149,8;P1;bovin;bizerba
LOT-2026-01111;2026-04-01;321,8;144,8;R1;bovin;bizerba
LOT-2026-01112;2026-04-18;355,4;177,7;O3;bovin;bizerba
LOT-2026-01113;2026-02-26;348,4;191,6;U2;bovin;bizerba
LOT-2026-01114;2026-03-28;98,4;80,3;R;porc;bizerba
LOT-2026-01115;2026-02-02;417,3;196,1;R3;bovin;bizerba
LOT-2026-01116;2026-05-25;372,8;193,9;E2;bovin;bizerba
LOT-2026-01117;2026-04-29;81,4;64,5;U;porc;bizerba
;2026-03-25;86,8;68,1;R;porc;bizerba
LOT-2026-01119;2026-04-18;315,3;138,7;E2;bovin;bizerba
LOT-2026-01120;2026-01-14;420,0;205,8;U3;bovin;bizerba
LOT-2026-01121;2026-06-16;76,4;71,1;S;porc;bizerba
LOT-2026-01122;2026-01-06;96,7;74,8;E;porc;bizerba
LOT-2026-01123;2026-05-25;412,7;222,9;R2;bovin;bizerba
LOT-2026-01124;2026-02-12;364,8;228,0;O3;bovin;bizerba
LOT-2026-01125;2026-02-11;415,1;211,7;E2;bovin;bizerba
LOT-2026-01126;2026-05-28;374,8;209,9;R1;bovin;bizerba
LOT-2026-01127;2026-01-20;362,9;174,2;P2;bovin;bizerba
LOT-2026-01128;2026-03-19;104,8;86,0;O;porc;bizerba
LOT-2026-01129;2026-05-25;389,6;206,5;U3;bovin;bizerba
LOT-2026-01130;2026-01-18;350,8;157,9;U3;bovin;bizerba
LOT-2026-01131;2026-05-06;294,8;147,4;U3;bovin;bizerba
LOT-2026-01132;2026-02-09;341,0;187,6;O3;bovin;bizerba
LOT-2026-01133;2026-06-07;393,1;184,8;R3;bovin;bizerba
LOT-2026-01134;2026-06-01;317,6;165,2;P2;bovin;bizerba
LOT-2026-01135;2026-03-13;403,4;177,5;U1;bovin;bizerba
LOT-2026-01136;2026-06-21;333,1;163,2;E1;bovin;bizerba
LOT-2026-01137;2026-05-05;309,7;167,2;P1;bovin;bizerba
LOT-2026-01138;2026-06-02;378,2;174,0;U2;bovin;bizerba
LOT-2026-01139;2026-02-18;292,0;148,9;O3;bovin;bizerba
LOT-2026-01140;2026-03-03;376,7;211,0;O2;bovin;bizerba
LOT-2026-01141;2026-01-05;293,0;140,6;U1;bovin;bizerba
LOT-2026-01142;2026-06-19;95,4;76,7;R;porc;bizerba
LOT-2026-01143;2026-05-21;326,3;172,9;O3;bovin;bizerba
LOT-2026-01144;2026-03-01;296,9;133,6;U1;bovin;bizerba
LOT-2026-01145;2026-06-26;305,9;152,9;U1;bovin;bizerba
LOT-2026-01146;2026-05-31;416,7;229,2;R3;bovin;bizerba
LOT-2026-01147;2026-02-19;321,5;151,1;U3;bovin;bizerba
LOT-2026-01148;2026-05-17;79,4;74,1;S;porc;bizerba
LOT-2026-01149;2026-06-28;412,2;214,3;O2;bovin;bizerba
LOT-2026-01150;2026-01-04;360,4;158,6;R2;bovin;bizerba
LOT-2026-01151;2026-01-14;315,3;154,5;P2;bovin;bizerba
LOT-2026-01152;2026-04-13;348,8;188,4;O1;bovin;bizerba
LOT-2026-01153;2026-02-08;103,4;79,7;U;porc;bizerba
LOT-2026-01154;2026-05-23;101,8;82,2;O;porc;bizerba
LOT-2026-01155;2026-05-14;333,3;153,3;R2;bovin;bizerba
LOT-2026-01156;2026-04-20;322,8;164,6;O1;bovin;bizerba
LOT-2026-01157;2026-01-26;412,7;231,1;U1;bovin;bizerba
LOT-2026-01158;2026-01-21;302,0;145,0;E3;bovin;bizerba
LOT-2026-01159;2026-04-15;90,8;72,5;O;porc;bizerba
LOT-2026-01160;2026-03-15;99,7;76,8;R;porc;bizerba
LOT-2026-01161;2026-03-09;102,6;83,2;O;porc;bizerba
LOT-2026-01162;2026-04-19;296,1;156,9;U1;bovin;bizerba
LOT-2026-01163;2026-02-06;290,0;130,5;E3;bovin;bizerba
LOT-2026-01164;2026-05-26;409,0;204,5;R2;bovin;bizerba
LOT-2026-01165;2026-06-29;336,4;185,0;U2;bovin;bizerba
LOT-2026-01166;2026-01-21;363,7;170,9;R1;bovin;bizerba
LOT-2026-01167;2026-01-07;292,8;152,3;O2;bovin;bizerba
LOT-2026-01168;2026-01-06;419,9;184,8;O2;bovin;bizerba
LOT-2026-01169;2026-02-14;345,9;169,5;O2;bovin;bizerba
LOT-2026-01170;2026-05-30;341,0;184,1;P2;bovin;bizerba
LOT-2026-01171;2026-03-31;89,3;72,5;U;porc;bizerba
LOT-2026-01172;2026-03-26;337,6;155,3;R2;bovin;bizerba
LOT-2026-01173;2026-05-21;285,1;145,4;E2;bovin;bizerba
LOT-2026-01174;2026-04-14;401,1;224,6;P2;bovin;bizerba
LOT-2026-01175;2026-05-19;344,7;165,5;E1;bovin;bizerba
LOT-2026-01176;2026-05-08;367,6;194,8;P1;bovin;bizerba
LOT-2026-01177;2026-02-03;409,9;184,5;R2;bovin;bizerba
LOT-2026-01178;2026-01-08;416,2;208,1;O1;bovin;bizerba
LOT-2026-01179;2026-03-21;357,1;196,4;R3;bovin;bizerba
LOT-2026-01180;2026-01-30;91,2;83,0;S;porc;bizerba
LOT-2026-01181;2026-03-16;92,8;73,7;U;porc;bizerba
LOT-2026-01182;2026-05-01;314,1;196,3;R3;bovin;bizerba
LOT-2026-01183;2026-06-03;92,8;76,6;E;porc;bizerba
LOT-2026-01184;2026-04-17;327,6;170,4;P1;bovin;bizerba
LOT-2026-01185;2026-03-14;381,6;167,9;P2;bovin;bizerba
LOT-2026-01186;2026-05-06;401,1;196,5;R2;bovin;bizerba
LOT-2026-01187;2026-05-22;386,8;208,9;R1;bovin;bizerba
LOT-2026-01188;2026-02-18;417,3;192,0;U1;bovin;bizerba
LOT-2026-01189;2026-04-16;76,5;62,3;R;porc;bizerba
LOT-2026-01190;2026-04-09;418,4;213,4;P1;bovin;bizerba
LOT-2026-01191;2026-05-07;415,1;232,5;E3;bovin;bizerba
LOT-2026-01192;2026-01-26;402,4;193,2;R2;bovin;bizerba
LOT-2026-01193;2026-01-04;381,1;202,0;R1;bovin;bizerba
LOT-2026-01194;2026-01-20;345,7;155,6;U2;bovin;bizerba
LOT-2026-01195;2026-06-16;291,2;145,6;U3;bovin;bizerba
LOT-2026-01196;2026-04-08;413,6;227,5;O2;bovin;bizerba
LOT-2026-01197;2026-05-19;285,0;133,9;E2;bovin;bizerba
LOT-2026-01198;2026-03-15;419,6;218,2;O3;bovin;bizerba;CHAMP_INATTENDU
LOT-2026-01199;2026-06-12;378,5;166,5;E2;bovin;bizerba
LOT-2026-01200;2026-01-08;286,4;140,3;P1;bovin;bizerba
LOT-2026-01201;2026-04-21;300,4;162,2;R3;bovin;bizerba
LOT-2026-01202;2026-02-16;303,8;139,7;E2;bovin;bizerba
LOT-2026-01203;2026-06-24;313,7;160,0;O1;bovin;bizerba
LOT-2026-01204;2026-03-07;344,3;192,8;O2;bovin;bizerba
LOT-2026-01205;2026-03-15;374,9;180,0;E3;bovin;bizerba
LOT-2026-01206;2026-05-31;321,9;170,6;R1;bovin;bizerba
LOT-2026-01207;2026-03-19;307,9;138,6;R1;bovin;bizerba
LOT-2026-01208;2026-04-08;95,0;74,7;O;porc;bizerba
LOT-2026-01209;2026-01-06;416,9;208,4;O2;bovin;bizerba
LOT-2026-01210;2026-06-25;102,2;94,9;S;porc;bizerba
LOT-2026-01211;2026-03-15;388,6;130,2;U1;bovin;bizerba
LOT-2026-01212;2026-06-12;306,6;144,1;U2;bovin;bizerba
LOT-2026-01213;2026-06-18;375,3;195,2;E3;bovin;bizerba
LOT-2026-01214;2026-06-15;285,5;125,6;P1;bovin;bizerba
LOT-2026-01215;2026-02-03;292,6;143,4;U2;bovin;bizerba
LOT-2026-01216;2026-02-21;298,5;161,2;R3;bovin;bizerba
LOT-2026-01217;2026-05-09;407,9;187,6;P2;bovin;bizerba
LOT-2026-01218;2026-05-04;415,4;211,9;U2;bovin;bizerba
LOT-2026-01219;2026-01-30;345,6;193,5;E2;bovin;bizerba
LOT-2026-01220;2026-06-23;381,4;183,1;R1;bovin;bizerba
LOT-2026-01221;2026-04-04;292,6;155,1;R1;bovin;bizerba
LOT-2026-01222;2026-04-27;331,6;149,2;O3;bovin;bizerba
LOT-2026-01223;2026-06-13;411,6;205,8;E2;bovin;bizerba
LOT-2026-01224;2026-06-08;403,8;222,1;R3;bovin;bizerba
LOT-2026-01225;2026-06-15;288,9;135,8;P2;bovin;bizerba
LOT-2026-01226;2026-06-16;337,2;175,3;E3;bovin;bizerba
LOT-2026-01227;2026-05-07;79,1;65,4;E;porc;bizerba
LOT-2026-01228;2026-04-27;88,0;69,9;O;;bizerba
LOT-2026-01229;2026-02-09;404,0;177,8;O2;bovin;bizerba
LOT-2026-01230;2026-04-15;411,5;201,6;U2;bovin;bizerba
LOT-2026-01231;2026-04-24;342,3;184,8;U1;bovin;bizerba
LOT-2026-01232;2026-06-25;87,9;67,6;U;porc;bizerba
LOT-2026-01233;2026-02-01;412,9;189,9;P2;bovin;bizerba
LOT-2026-01234;2026-06-14;369,5;188,4;E1;bovin;bizerba
LOT-2026-01235;2026-02-02;390,2;218,5;U1;bovin;bizerba
LOT-2026-01236;2026-02-23;362,1;226,3;P2;bovin;bizerba
LOT-2026-01237;2026-02-07;390,4;206,9;O1;bovin;bizerba
LOT-2026-01238;2026-02-07;418,3;188,2;R3;bovin;bizerba
LOT-2026-01239;2026-06-19;105,3;80,7;E;porc;bizerba
LOT-2026-01240;2026-03-02;362,4;181,2;E1;bovin;bizerba
LOT-2026-01241;2026-04-18;93,4;83,9;S;porc;bizerba
LOT-2026-01242;2026-05-12;363,1;199,7;R2;bovin;bizerba
LOT-2026-01243;2026-01-12;381,8;179,4;P2;bovin;bizerba
LOT-2026-01244;2026-06-14;415,0;215,8;E1;bovin;bizerba
LOT-2026-01245;2026-04-20;376,1;165,5;R2;bovin;bizerba
LOT-2026-01246;2026-01-21;325,1;159,3;E3;bovin;bizerba
LOT-2026-01247;2026-06-12;362,0;195,5;O3;bovin;bizerba
LOT-2026-01248;2026-05-16;321,3;147,8;R3;bovin;bizerba
LOT-2026-01249;2026-06-29;79,0;64,4;O;porc;bizerba
