Num_Apport;Date_Apport;Site;Cereale;Poids_Net;Taux_Humidite
APP-2026-01135;2026-01-25;silo_est;ble_tendre;20726,0;15,1
APP-2026-01136;2026-04-04;silo_ouest;orge;36973,0;11,9
APP-2026-01137;2026-01-11;silo_est;orge;5039,0;11,6
APP-2026-01138;2026-05-13;silo_sud;sarrasin_bio;23564,0;13,2
APP-2026-01139;2026-03-23;silo_est;mais;10313,0;15,0
APP-2026-01140;2026-03-28;silo_ouest;orge;25829,0;13,3
APP-2026-01141;2026-05-25;silo_est;orge;16491,0;14,7
APP-2026-01142;2026-01-29;silo_nord;mais;47095,0;13,1
APP-2026-01143;2026-05-02;silo_sud;orge;14949,0;14,0
APP-2026-01144;2026-01-14;silo_ouest;orge;29259,0;11,8
APP-2026-01145;2026-03-04;silo_nord;ble_tendre;4421,0;15,8
APP-2026-01146;2026-01-05;silo_ouest;ble_tendre;22847,0;13,4
APP-2026-01147;2026-02-22;silo_ouest;orge;21467,0;14,5
APP-2026-01148;2026-01-16;silo_est;orge;34760,0;13,3
APP-2026-01149;2026-05-03;silo_sud;orge;26646,0;12,4
APP-2026-01150;2026-05-17;silo_est;mais;18405,0;12,1
APP-2026-01151;2026-05-04;silo_est;orge;11652,0;12,1
APP-2026-01152;2026-03-18;silo_ouest;ble_tendre;37703,0;14,7
APP-2026-01153;2026-05-03;silo_est;mais;18696,0;14,7
APP-2026-01154;2026-02-01;silo_ouest;mais;28806,0;12,9
APP-2026-01155;2026-02-07;silo_nord;mais;16070,0;11,8
APP-2026-01156;2026-04-24;silo_sud;mais;32519,0;13,9
APP-2026-01157;2026-05-18;silo_est;ble_tendre;15201,0;14,0
APP-2026-01158;2026-01-28;silo_sud;ble_tendre;30705,0;14,1
APP-2026-01159;2026-05-16;silo_nord;ble_tendre;13155,0;12,5
APP-2026-01160;2026-03-26;silo_sud;mais;35281,0;11,0
APP-2026-01161;2026-05-21;silo_ouest;ble_tendre;47006,0;12,2
APP-2026-01162;2026-02-21;silo_est;mais;37016,0;11,8
APP-2026-01163;2026-01-16;silo_sud;orge;43857,0;11,4
APP-2026-01164;2026-01-10;silo_sud;orge;44095,0;11,8
APP-2026-01165;2026-04-12;silo_est;ble_tendre;38458,0;12,3
APP-2026-01166;2026-01-03;silo_est;ble_tendre;16428,0;14,2
APP-2026-01167;2026-04-27;silo_ouest;mais;47509,0;12,9
APP-2026-01168;2026-05-10;silo_nord;ble_tendre;24061,0;12,4
APP-2026-01169;2026-02-11;silo_sud;mais;35900,0;13,4
APP-2026-01170;2026-03-28;silo_sud;ble_tendre;38585,0;14,1
APP-2026-01171;2026-04-14;silo_nord;ble_tendre;40215,0;13,8
APP-2026-01172;2026-01-25;silo_est;mais;11315,0;11,1
APP-2026-01173;2026-01-02;silo_est;ble_tendre;14735,0;12,6
APP-2026-01174;2026-03-19;silo_est;mais;29211,0;13,1
APP-2026-01175;2026-04-03;silo_nord;orge;34175,0;11,3
APP-2026-01176;2026-03-20;silo_est;mais;10187,0;13,6
APP-2026-01177;2026-01-31;silo_est;orge;31742,0;15,2
APP-2026-01178;2026-02-26;silo_sud;orge;12861,0;11,6
APP-2026-01179;2026-04-06;silo_ouest;mais;21713,0;13,0
APP-2026-01180;2026-02-25;silo_nord;orge;37284,0;14,1
APP-2026-01181;2026-04-25;silo_nord;orge;26768,0;12,6
APP-2026-01182;2026-05-21;silo_sud;ble_tendre;43630,0;12,4
APP-2026-01183;2026-03-25;silo_sud;ble_tendre;41452,0;13,5
APP-2026-01184;2026-05-30;silo_ouest;orge;24997,0;15,0
APP-2026-01185;2026-04-27;silo_nord;ble_tendre;8937,0;13,4
APP-2026-01186;2026-04-29;silo_nord;orge;33275,0;12,4
APP-2026-01187;2026-03-07;silo_nord;mais;39740,0;13,9
APP-2026-01188;2026-04-19;silo_nord;ble_tendre;18504,0;11,8
APP-2026-01189;2026-05-01;silo_sud;ble_tendre;4428,0;13,3
APP-2026-01190;2026-04-18;silo_ouest;orge;19851,0;15,0
APP-2026-01191;2026-04-07;silo_sud;mais;6611,0;14,8
APP-2026-01192;2026-03-31;silo_ouest;orge;8338,0;15,5
APP-2026-01193;2026-02-02;silo_nord;orge;35754,0;12,0
APP-2026-01194;2026-03-18;silo_ouest;ble_tendre;23835,0;14,7
APP-2026-01195;2026-04-08;silo_est;orge;40051,0;12,1
APP-2026-01196;2026-03-12;silo_nord;ble_tendre;11482,0;15,4
APP-2026-01197;2026-04-18;silo_nord;ble_tendre;30672,0;15,7
APP-2026-01198;2026-02-22;silo_ouest;ble_tendre;6028,0;14,2
APP-2026-01199;2026-01-13;silo_ouest;orge;14013,0;11,2
APP-2026-01200;2026-05-19;silo_nord;ble_tendre;12777,0;15,4
APP-2026-01201;2026-05-09;silo_est;ble_tendre;47707,0;12,6
APP-2026-01202;2026-03-24;silo_sud;orge;13661,0;14,9
APP-2026-01203;2026-03-18;silo_sud;mais;15382,0;13,0
APP-2026-01204;2026-04-20;silo_est;orge;28013,0;11,2
APP-2026-01205;2026-04-08;silo_ouest;orge;38361,0;12,4
APP-2026-01206;2026-02-08;silo_ouest;mais;16495,0;11,3
APP-2026-01207;2026-02-27;silo_ouest;ble_tendre;16533,0;14,7
APP-2026-01208;2026-05-24;silo_sud;ble_tendre;21570,0;13,4
APP-2026-01209;2026-03-04;silo_nord;mais;14475,0;12,0
APP-2026-01210;2026-04-05;silo_sud;mais;7161,0;13,8
APP-2026-01211;2026-03-10;silo_nord;ble_tendre;19973,0;14,2
APP-2026-01212;2026-02-18;silo_sud;ble_tendre;39209,0;14,1
APP-2026-01213;2026-02-23;silo_nord;mais;42126,0;12,0
APP-2026-01214;2026-02-18;silo_ouest;ble_tendre;46293,0;12,0
APP-2026-01215;2026-02-22;silo_est;ble_tendre;20848,0;12,6
APP-2026-01216;2026-04-08;silo_est;mais;23981,0;13,4
APP-2026-01217;2026-04-03;silo_nord;mais;26077,0;12,7
APP-2026-01218;2026-05-01;silo_sud;orge;37273,0;12,4
APP-2026-01219;2026-03-22;silo_sud;mais;21627,0;13,0
APP-2026-01220;2026-02-07;silo_ouest;orge;3730,0;13,5
APP-2026-01221;2026-02-09;silo_sud;mais;11829,0;11,5
APP-2026-01222;2026-05-21;silo_est;mais;32457,0;13,6
APP-2026-01223;2026-05-06;silo_est;mais;23737,0;13,8
APP-2026-01224;2026-02-05;silo_nord;ble_tendre;35414,0;13,7
APP-2026-01225;2026-01-09;silo_nord;orge;40758,0;11,3
APP-2026-01226;2026-04-16;silo_nord;ble_tendre;9187,0;14,3
APP-2026-01227;2026-02-08;silo_est;orge;3411,0;13,3
APP-2026-01228;2026-05-04;silo_ouest;ble_tendre;32668,0;11,6
APP-2026-01229;2026-01-05;silo_est;ble_tendre;26824,0;12,7
APP-2026-01230;2026-05-09;silo_sud;ble_tendre;39592,0;14,5
APP-2026-01231;2026-01-25;silo_est;ble_tendre;26597,0;12,6
APP-2026-01232;2026-03-10;silo_ouest;mais;38772,0;10,9
APP-2026-01233;2026-05-25;silo_est;mais;13944,0;13,6
APP-2026-01234;2026-01-21;silo_nord;orge;32418,0;14,9
APP-2026-01235;2026-04-14;silo_nord;ble_tendre;20067,0;14,0
APP-2026-01236;2026-01-03;silo_ouest;orge;34628,0;11,4
APP-2026-01237;2026-03-26;silo_nord;orge;28464,0;14,9
APP-2026-01238;2026-01-11;silo_ouest;orge;13339,0;15,1
APP-2026-01239;2026-01-12;silo_est;mais;44587,0;13,6
APP-2026-01240;2026-05-25;silo_est;orge;32615,0;11,8
APP-2026-01241;2026-02-23;silo_ouest;ble_tendre;29417,0;14,9
APP-2026-01242;2026-03-18;silo_ouest;ble_tendre;10310,0;12,6
APP-2026-01243;2026-05-19;silo_sud;orge;17928,0;14,4
APP-2026-01244;2026-01-21;silo_nord;orge;25536,0;15,4
APP-2026-01245;2026-04-22;silo_ouest;ble_tendre;13446,0;11,8
APP-2026-01246;2026-01-08;silo_ouest;mais;31536,0;14,0
APP-2026-01247;2026-02-28;silo_ouest;mais;19012,0;14,7
APP-2026-01248;2026-05-30;silo_est;ble_tendre;32730,0;11,9
APP-2026-01249;2026-01-19;silo_sud;ble_tendre;6692,0;12,2
