DATE	BALANCE	CLASSE	ESPECE	LOT	POIDS_C	POIDS_D
2026-04-04	multivac	S	porc	LOT-2026-01071	106.5	98.8
2026-03-05	multivac	U	porc	LOT-2026-01072	98.3	80.6
2026-04-15	multivac	O3	bovin	LOT-2026-01073	416.3	199.8
2026-02-11	multivac	P1	bovin	LOT-2026-01074	416.7	260.4
2026-02-15	multivac	U3	bovin	LOT-2026-01075	383.1	164.7
2026-06-21	multivac	P1	bovin	LOT-2026-01076	401.0	192.5
2026-06-29	multivac	S	porc	LOT-2026-01077	78.8	72.9
2026-04-28	multivac	E	porc	LOT-2026-01078	87.2	68.1
2026-04-13	multivac	P2	bovin	LOT-2026-01079	326.0	172.8
2026-03-31	multivac	R1	bovin	LOT-2026-01080	369.8	159.0
2026-03-26	multivac	E2	bovin	LOT-2026-01081	411.5	197.5
2026-05-29	multivac	U2	bovin	LOT-2026-01082	414.8	219.8
2026-03-30	multivac	U3	bovin	LOT-2026-01083	382.0	164.3
2026-01-30	multivac	O1	bovin	LOT-2026-01084	333.9	160.3
2026-04-22	multivac	O	porc	LOT-2026-01085	75.1	61.1
2026-06-21	multivac	R1	bovin	LOT-2026-01086	307.6	163.0
2026-03-26	multivac	O2	bovin	LOT-2026-01087	367.2	157.9
2026-03-18	multivac	O2	bovin	LOT-2026-01088	351.0	168.5
2026-03-17	multivac	U1	bovin	LOT-2026-01089	357.6	189.5
2026-06-23	multivac	E3	bovin	LOT-2026-01090	384.7	165.4
2026-05-21	multivac	U2	bovin	LOT-2026-01091	396.7	190.4
2026-05-29	multivac	U3	bovin	LOT-2026-01092	364.9	193.4
2026-02-24	multivac	P1	bovin	LOT-2026-01093	351.6	151.2
2026-02-13	multivac	U2	bovin	LOT-2026-01094	372.2	178.7
2026-03-27	multivac	P1	bovin	LOT-2026-01095	293.1	155.3
2026-02-20	multivac	E1	bovin	LOT-2026-01096	300.6	129.3
2026-01-19	multivac	O2	bovin	LOT-2026-01097	343.8	165.0
2026-04-09	multivac	U1	bovin	LOT-2026-01098	349.2	185.1
2026-01-28	multivac	U1	bovin	LOT-2026-01000	389.0	167.3
2026-05-13	multivac	R3	bovin	LOT-2026-01100	345.0	165.6
2026-04-27	multivac	R2	bovin	LOT-2026-01101	298.7	158.3
2026-06-02	multivac	P1	bovin	LOT-2026-01102	324.4	139.5
2026-05-10	multivac	R3	bovin	LOT-2026-01103	339.7	163.1
2026-05-02	multivac	E	porc	LOT-2026-01104	90.8	74.8
2026-05-14	multivac	U1	bovin	LOT-2026-01105	347.8	184.3
2026-03-15	multivac	U	porc	LOT-2026-01106	83.2	65.5
2026-02-05	multivac	R1	bovin	LOT-2026-01107	301.1	129.5
2026-01-17	multivac	U3	bovin	LOT-2026-01108	338.1	162.3
2026-02-22	multivac	R1	bovin	LOT-2026-01109	396.6	210.2
2026-06-28	multivac	P1	bovin	LOT-2026-01110	282.7	121.6
2026-04-01	multivac	R1	bovin	LOT-2026-01111	321.8	154.5
2026-04-18	multivac	O3	bovin	LOT-2026-01112	355.4	188.4
2026-02-26	multivac	U2	bovin	LOT-2026-01113	348.4	149.8
2026-03-28	multivac	R	porc	LOT-2026-01114	98.4	80.3
2026-02-02	multivac	R3	bovin	LOT-2026-01115	417.3	200.3
2026-05-25	multivac	E2	bovin	LOT-2026-01116	372.8	124.9
2026-04-29	multivac	U	porc	LOT-2026-01117	81.4	64.5
2026-03-25	multivac	R	porc	LOT-2026-01118	86.8	68.1
2026-04-18	multivac	E2	bovin	LOT-2026-01119	315.3	135.6
2026-01-14	multivac	U3	bovin	LOT-2026-01120	420.0	201.6
2026-06-16	multivac	S	porc	LOT-2026-01121	76.4	71.1
2026-01-06	multivac	E	porc	LOT-2026-01122	96.7	74.8
2026-05-25	multivac	R2	bovin	LOT-2026-01123	412.7	218.7
2026-02-12	multivac	O3	bovin	LOT-2026-01124	364.8	156.9
2026-02-11	multivac	E2	bovin	LOT-2026-01125	415.1	199.2
2026-05-28	multivac	R1	bovin	LOT-2026-01126	374.8	198.6
2026-01-20	multivac	P2	bovin	LOT-2026-01127	362.9	156.0
2026-03-19	multivac	O	porc	LOT-2026-01128	104.8	86.0
2026-05-25	multivac	U3	bovin	LOT-2026-01129	389.6	187.0
2026-01-18	multivac	U3	bovin	LOT-2026-01130	350.8	185.9
2026-05-06	multivac	U3	bovin	LOT-2026-01131	294.8	126.8
2026-02-09	multivac	O3	bovin	LOT-2026-01132	341.0	163.7
2026-06-07	multivac	R3	bovin	LOT-2026-01133	393.1	208.3
2026-06-01	multivac	P2	bovin	LOT-2026-01134	317.6	136.6
2026-03-13	multivac	U1	bovin	LOT-2026-01135	403.4	193.6
2026-06-21	multivac	E1	bovin	LOT-2026-01136	333.1	176.5
2026-05-05	multivac	P1	bovin	LOT-2026-01137	309.7	133.2
2026-06-02	multivac	U2	bovin	LOT-2026-01138	378.2	236.4
2026-02-18	multivac	O3	bovin	LOT-2026-01139	292.0	154.8
2026-03-03	multivac	O2	bovin	LOT-2026-01140	376.7	162.0
2026-01-05	multivac	U1	bovin	LOT-2026-01141	293.0	140.6
2026-06-19	multivac	R	porc	LOT-2026-01142	95.4	76.7
2026-05-21	multivac	O3	bovin	LOT-2026-01143	326.3	172.9
2026-03-01	multivac	U1	bovin	LOT-2026-01144	296.9	127.7
2026-06-26	multivac	U1	bovin	LOT-2026-01145	305.9	146.8
2026-05-31	multivac	R3	bovin	LOT-2026-01146	416.7	220.9
2026-02-19	multivac	U3	bovin	LOT-2026-01147	321.5	138.2
2026-05-17	multivac	S	porc	LOT-2026-01148	79.4	74.1
2026-06-28	multivac	O2	bovin	LOT-2026-01149	412.2	197.9
2026-01-04	multivac	R2	bovin	LOT-2026-01150	360.4	191.0
2026-01-14	multivac	P2	bovin	LOT-2026-01151	315.3	135.6
2026-04-13	multivac	O1	bovin	LOT-2026-01152	348.8	167.4
2026-02-08	multivac	U	porc	LOT-2026-01153	103.4	79.7
2026-05-23	multivac	O	porc	LOT-2026-01154	101.8	82.2
2026-05-14	multivac	R2	bovin	LOT-2026-01155	333.3	176.6
2026-04-20	multivac	O1	bovin	LOT-2026-01156	322.8	138.8
2026-01-26	multivac	U1	bovin	LOT-2026-01157	412.7	198.1
2026-01-21	multivac	E3	bovin	LOT-2026-01158	302.0	160.1
2026-04-15	multivac	O	porc	LOT-2026-01159	90.8	72.5
2026-03-15	multivac	R	porc	LOT-2026-01160	99.7	76.8
2026-03-09	multivac	O	porc	LOT-2026-01161	102.6	83.2
2026-04-19	multivac	U1	bovin	LOT-2026-01162	296.1	127.3
2026-02-06	multivac	E3	bovin	LOT-2026-01163	290.0	139.2
2026-05-26	multivac	R2	bovin	LOT-2026-01164	409.0	216.8
2026-06-29	multivac	U2	bovin	LOT-2026-01165	336.4	144.7
2026-01-21	multivac	R1	bovin	LOT-2026-01166	363.7	174.6
2026-01-07	multivac	O2	bovin	LOT-2026-01167	292.8	155.2
2026-01-06	multivac	O2	bovin	LOT-2026-01168	419.9	180.6
2026-02-14	multivac	O2	bovin	LOT-2026-01169	345.9	166.0
2026-05-30	multivac	P2	bovin	LOT-2026-01170	341.0	180.7
2026-03-31	multivac	U	porc	LOT-2026-01171	89.3	72.5
2026-03-26	multivac	R2	bovin	LOT-2026-01172	337.6	145.2
2026-05-21	multivac	E2	bovin	LOT-2026-01173	9999.9	4800.0
2026-04-14	multivac	P2	bovin	LOT-2026-01174	401.1	212.6
2026-05-19	multivac	E1	bovin	LOT-2026-01175	344.7	148.2
2026-05-08	multivac	P1	bovin	LOT-2026-01176	367.6	176.4
2026-02-03	multivac	R2	bovin	LOT-2026-01177	409.9	217.2
2026-01-08	multivac	O1	bovin	LOT-2026-01178	416.2	179.0
2026-03-21	multivac	R3	bovin	LOT-2026-01179	357.1	171.4
2026-01-30	multivac	S	porc	LOT-2026-01180	91.2	83.0
2026-03-16	multivac	U	porc	LOT-2026-01181	92.8	73.7
2026-05-01	multivac	R3	bovin	LOT-2026-01182	314.1	166.5
2026-06-03	multivac	E	porc	LOT-2026-01183	92.8	76.6
2026-04-17	multivac	P1	bovin	LOT-2026-01184	327.6	140.9
2026-03-14	multivac	P2	bovin	LOT-2026-01185	381.6	183.2
2026-05-06	multivac	R2	bovin	LOT-2026-01186	401.1	212.6
2026-05-22	multivac	R1	bovin	LOT-2026-01187	386.8	166.3
2026-02-18	multivac	U1	bovin	LOT-2026-01188	417.3	200.3
2026-04-16	multivac	R	porc	LOT-2026-01189	76.5	62.3
2026-04-09	multivac	P1	bovin	LOT-2026-01190	418.4	221.8
2026-05-07	multivac	E3	bovin	LOT-2026-01191	415.1	178.5
2026-01-26	multivac	R2	bovin	LOT-2026-01192	402.4	193.2
2026-01-04	multivac	R1	bovin	LOT-2026-01193	381.1	202.0
2026-01-20	multivac	U2	bovin	LOT-2026-01194	345.7	148.7
2026-06-16	multivac	U3	bovin	LOT-2026-01195	291.2	139.8
2026-04-08	multivac	O2	bovin	LOT-2026-01196	413.6	219.2
2026-05-19	multivac	E2	bovin	LOT-2026-01197	285.0	122.5
2026-03-15	multivac	O3	bovin	LOT-2026-01198	419.6	201.4
2026-06-12	multivac	E2	bovin	LOT-2026-01199	378.5	200.6
2026-01-08	multivac	P1	bovin	LOT-2026-01200	286.4	123.2
2026-04-21	multivac	R3	bovin	LOT-2026-01201	300.4	144.2
2026-02-16	multivac	E2	bovin	LOT-2026-01202	303.8	161.0
2026-06-24	multivac	O1	bovin	LOT-2026-01203	313.7	196.1
2026-03-07	multivac	O2	bovin	LOT-2026-01204	344.3	165.3
2026-03-15	multivac	E3	bovin	LOT-2026-01205	374.9	198.7
2026-05-31	multivac	R1	bovin	LOT-2026-01206	321.9	138.4
2026-03-19	multivac	R1	bovin	LOT-2026-01207	307.9	147.8
2026-04-08	multivac	O	porc	LOT-2026-01208	95.0	74.7
2026-01-06	multivac	O2	bovin	LOT-2026-01209	416.9	221.0
2026-06-25	multivac	S	porc	LOT-2026-01210	102.2	94.9
2026-03-15	multivac	U1	bovin	LOT-2026-01211	388.6	167.1
2026-06-12	multivac	U2	bovin	LOT-2026-01212	306.6	147.2
2026-06-18	multivac	E3	bovin	LOT-2026-01213	375.3	198.9
2026-06-15	multivac	P1	bovin	LOT-2026-01214	285.5	122.8
2026-02-03	multivac	U2	bovin	LOT-2026-01215	292.6	140.4
2026-02-21	multivac	R3	bovin	LOT-2026-01216	298.5	158.2
2026-05-09	multivac	P2	bovin	LOT-2026-01217	407.9	175.4
2026-05-04	multivac	U2	inconnu	LOT-2026-01218	415.4	318.6
2026-01-30	multivac	E2	bovin	LOT-2026-01219	345.6	165.9
2026-06-23	multivac	R1	bovin	LOT-2026-01220	381.4	202.1
2026-04-04	multivac	R1	bovin	LOT-2026-01221	292.6	125.8
2026-04-27	multivac	O3	bovin	LOT-2026-01222	331.6	159.2
2026-06-13	multivac	E2	bovin	LOT-2026-01223	411.6	218.1
2026-06-08	multivac	R3	bovin	LOT-2026-01224	403.8	173.6
2026-06-15	multivac	P2	bovin	LOT-2026-01225	288.9	96.8
2026-06-16	multivac	E3	bovin	LOT-2026-01226	337.2	178.7
2026-05-07	multivac	E	porc	LOT-2026-01227	79.1	65.4
2026-04-27	multivac	O	porc	LOT-2026-01228	88.0	69.9
2026-02-09	multivac	O2	bovin	LOT-2026-01229	404.0	173.7
2026-04-15	multivac	U2	bovin	LOT-2026-01230	411.5	197.5
2026-04-24	multivac	U1	bovin	LOT-2026-01231	342.3	181.4
2026-06-25	multivac	U	porc	LOT-2026-01232	87.9	67.6
2026-02-01	multivac	P2	bovin	LOT-2026-01233	412.9	177.5
2026-06-14	multivac	E1	bovin	LOT-2026-01234	369.5	177.4
2026-02-02	multivac	U1	bovin	LOT-2026-01235	390.2	206.8
2026-02-23	multivac	P2	bovin	LOT-2026-01236	362.1	155.7
2026-02-07	multivac	O1	bovin	LOT-2026-01237	390.4	187.4
2026-02-07	multivac	R3	bovin	LOT-2026-01238	418.3	221.7
2026-06-19	multivac	E	porc	LOT-2026-01239	105.3	80.7
2026-03-02	multivac	E1	bovin	LOT-2026-01240	362.4	155.8
2026-04-18	multivac	S	porc	LOT-2026-01241	93.4	83.9
2026-05-12	multivac	R2	bovin	LOT-2026-01242	363.1	174.3
2026-01-12	multivac	P2	bovin	LOT-2026-01243	381.8	202.4
2026-06-14	multivac	E1	bovin	LOT-2026-01244	415.0	178.4
2026-04-20	multivac	R2	bovin	LOT-2026-01245	376.1	180.5
2026-01-21	multivac	E3	bovin	LOT-2026-01246	325.1	172.3
2026-06-12	multivac	O3	bovin	LOT-2026-01247	362.0	155.7
2026-05-16	multivac	R3	bovin	LOT-2026-01248	321.3	154.2
2026-06-29	multivac	O	porc	LOT-2026-01249	79.0	64.4
