lot_number,weigh_date,carcass_weight,cut_weight,grade,scale_id
LOT-2026-01166,01/21/2026,363.7,264.0,R1,dini_argeo
LOT-2026-01167,01/07/2026,292.8,209.1,O2,dini_argeo
LOT-2026-01168,01/06/2026,419.9,299.0,O2,dini_argeo
LOT-2026-01169,02/14/2026,345.9,237.3,O2,dini_argeo
LOT-2026-01170,05/30/2026,341.0,228.1,P2,dini_argeo
LOT-2026-01171,03/31/2026,89.3,72.5,U,dini_argeo
LOT-2026-01172,03/26/2026,337.6,234.6,R2,dini_argeo
LOT-2026-01173,05/21/2026,285.1,215.8,E2,dini_argeo
LOT-2026-01174,04/14/2026,401.1,282.4,P2,dini_argeo
LOT-2026-01175,05/19/2026,344.7,257.8,E1,dini_argeo
LOT-2026-01176,05/08/2026,367.6,234.9,P1,dini_argeo
LOT-2026-01177,02/03/2026,409.9,302.1,R2,dini_argeo
LOT-2026-01178,01/08/2026,416.2,295.9,O1,dini_argeo
LOT-2026-01179,03/21/2026,357.1,251.4,R3,dini_argeo
LOT-2026-01180,01/30/2026,91.2,83.0,S,dini_argeo
LOT-2026-01181,03/16/2026,92.8,73.7,U,dini_argeo
LOT-2026-01182,05/01/2026,314.1,215.2,R3,dini_argeo
LOT-2026-01183,06/03/2026,92.8,76.6,E,dini_argeo
LOT-2026-01184,04/17/2026,327.6,219.8,P1,dini_argeo
LOT-2026-01185,03/14/2026,381.6,258.0,P2,dini_argeo
LOT-2026-01186,05/06/2026,401.1,286.0,R2,dini_argeo
LOT-2026-01187,05/22/2026,386.8,273.5,R1,dini_argeo
LOT-2026-01188,02/18/2026,417.3,315.1,U1,dini_argeo
LOT-2026-01189,04/16/2026,76.5,62.3,R,dini_argeo
LOT-2026-01190,04/09/2026,418.4,289.5,P1,dini_argeo
LOT-2026-01191,05/07/2026,415.1,319.6,E3,dini_argeo
LOT-2026-01192,01/26/2026,402.4,274.4,R2,dini_argeo
LOT-2026-01193,01/04/2026,381.1,280.5,R1,dini_argeo
LOT-2026-01194,01/20/2026,345.7,255.5,U2,dini_argeo
LOT-2026-01195,06/16/2026,291.2,225.7,U3,dini_argeo
LOT-2026-01196,04/08/2026,413.6,291.6,O2,dini_argeo
LOT-2026-01197,05/19/2026,285.0,214.0,E2,dini_argeo
LOT-2026-01198,03/15/2026,419.6,277.4,O3,dini_argeo
LOT-2026-01199,06/12/2026,378.5,289.9,E2,dini_argeo
LOT-2026-01200,01/08/2026,286.4,183.0,P1,dini_argeo
LOT-2026-01201,04/21/2026,300.4,211.5,R3,dini_argeo
LOT-2026-01202,02/16/2026,303.8,236.4,E2,dini_argeo
LOT-2026-01203,06/24/2026,313.7,208.6,O1,dini_argeo
LOT-2026-01204,03/07/2026,344.3,225.9,O2,dini_argeo
LOT-2026-01205,03/15/2026,374.9,277.4,E3,dini_argeo
LOT-2026-01206,05/31/2026,321.9,232.7,R1,dini_argeo
LOT-2026-01207,03/19/2026,307.9,226.3,R1,dini_argeo
LOT-2026-01208,04/08/2026,95.0,74.7,O (à contrôler),dini_argeo
LOT-2026-01209,01/06/2026,416.9,284.7,O2,dini_argeo
LOT-2026-01210,06/25/2026,102.2,94.9,S,dini_argeo
LOT-2026-01211,03/15/2026,388.6,294.2,U1,dini_argeo
LOT-2026-01212,06/12/2026,306.6,233.6,U2,dini_argeo
LOT-2026-01213,06/18/2026,375.3,292.4,E3,dini_argeo
LOT-2026-01214,06/15/2026,285.5,190.1,P1,dini_argeo
LOT-2026-01215,02/03/2026,292.6,215.9,U2,dini_argeo
LOT-2026-01216,02/21/2026,298.5,219.7,R3,dini_argeo
LOT-2026-01217,05/09/2026,407.9,263.9,P2,dini_argeo
LOT-2026-01218,05/04/2026,415.4,318.6,U2,dini_argeo
LOT-2026-01219,01/30/2026,345.6,257.5,E2,dini_argeo
LOT-2026-01220,06/23/2026,381.4,283.4,R1,dini_argeo
LOT-2026-01221,04/04/2026,292.6,197.8,R1,dini_argeo
LOT-2026-01222,04/27/2026,331.6,232.8,O3,dini_argeo
LOT-2026-01223,06/13/2026,411.6,321.9,E2,dini_argeo
LOT-2026-01224,06/08/2026,403.8,281.9,R3,dini_argeo
LOT-2026-01225,06/15/2026,288.9,192.7,P2,dini_argeo
LOT-2026-01226,06/16/2026,337.2,248.9,E3,dini_argeo
LOT-2026-01227,05/07/2026,79.1,65.4,E,dini_argeo
LOT-2026-01228,04/27/2026,88.0,69.9,O,dini_argeo
LOT-2026-01229,02/09/2026,404.0,267.4,O2,dini_argeo
LOT-2026-01230,04/15/2026,411.5,295.0,U2,dini_argeo
LOT-2026-01231,04/24/2026,342.3,265.3,U1,dini_argeo
LOT-2026-01232,06/25/2026,87.9,67.6,U,dini_argeo
LOT-2026-01233,02/01/2026,412.9,275.4,P2,dini_argeo
LOT-2026-01234,06/14/2026,369.5,273.1,E1,dini_argeo
LOT-2026-01235,02/02/2026,390.2,280.9,U1,dini_argeo
LOT-2026-01236,02/23/2026,362.1,252.0,P2,dini_argeo
LOT-2026-01237,02/07/2026,390.4,255.7,O1,dini_argeo
LOT-2026-01238,02/07/2026,418.3,289.9,R3,dini_argeo
LOT-2026-01239,06/19/2026,105.3,80.7,E,dini_argeo
LOT-2026-01240,03/02/2026,362.4,270.7,E1,dini_argeo
LOT-2026-01241,04/18/2026,93.4,83.9,S,dini_argeo
LOT-2026-01242,05/12/2026,363.1,257.8,R2,dini_argeo
LOT-2026-01243,01/12/2026,381.8,260.0,P2,dini_argeo
LOT-2026-01244,06/14/2026,415.0,334.1,E1,dini_argeo
LOT-2026-01245,04/20/2026,376.1,272.7,R2,dini_argeo
LOT-2026-01246,01/21/2026,325.1,240.6,E3,dini_argeo
LOT-2026-01247,06/12/2026,362.0,245.4,O3,dini_argeo
LOT-2026-01248,05/16/2026,321.3,230.4,R3,dini_argeo
LOT-2026-01249,06/29/2026,79.0,64.4,O,dini_argeo
