CEREALE	HUMIDITE	POIDS	SITE	DATE	APPORT
orge	11.3	9793.0	silo_ouest	2026-03-22	APP-2026-01034
orge	13.7	38835.0	silo_est	2026-03-19	APP-2026-01035
orge	13.0	16968.0	silo_nord	2026-01-19	APP-2026-01036
mais	14.4	6453.0	silo_nord	2026-03-15	APP-2026-01037
orge	13.6	20302.0	silo_nord	2026-05-10	APP-2026-01038
mais	11.9	32333.0	silo_ouest	2026-05-27	APP-2026-01039
orge	13.0	46098.0	silo_est	2026-02-08	APP-2026-01040
orge	11.8	25705.0	silo_sud	2026-01-22	APP-2026-01041
orge	13.4	47594.0	silo_sud	2026-04-23	APP-2026-01042
mais	12.2	44307.0	silo_est	2026-04-06	APP-2026-01043
orge	13.9	38515.0	silo_nord	2026-01-14	APP-2026-01044
mais	12.2	28108.0	silo_est	2026-01-25	APP-2026-01045
orge	13.6	18001.0	silo_sud	2026-02-08	APP-2026-01046
mais	13.6	46546.0	silo_ouest	2026-03-21	APP-2026-01047
ble_tendre	13.2	16931.0	silo_est	2026-01-22	APP-2026-01048
ble_tendre	14.5	7205.0	silo_est	2026-05-15	APP-2026-01049
ble_tendre	15.8	16899.0	silo_est	2026-04-03	APP-2026-01050
mais	11.1	13194.0	silo_nord	2026-02-19	APP-2026-01051
mais	12.9	25846.0	silo_nord	2026-01-26	APP-2026-01052
orge	13.8	42438.0	silo_ouest	2026-03-28	APP-2026-01053
ble_tendre	14.6	11138.0	silo_sud	2026-02-11	APP-2026-01054
orge	12.6	4966.0	silo_sud	2026-04-23	APP-2026-01055
mais	14.0	36858.0	silo_sud	2026-03-14	APP-2026-01056
orge	14.6	16926.0	silo_ouest	2026-03-03	APP-2026-01057
ble_tendre	14.1	33524.0	silo_ouest	2026-04-05	APP-2026-01058
mais	12.8	38016.0	silo_ouest	2026-03-14	APP-2026-01059
ble_tendre	12.1	39057.0	silo_est	2026-02-21	APP-2026-01060
ble_tendre	14.0	42335.0	silo_nord	2026-05-04	APP-2026-01061
orge	12.3	41302.0	silo_sud	2026-05-13	APP-2026-01062
mais	11.2	43739.0	silo_ouest	2026-04-26	APP-2026-01063
ble_tendre	15.5	39752.0
mais	12.2	20840.0	silo_ouest	2026-01-14	APP-2026-01065
ble_tendre	12.9	13104.0	silo_nord	2026-04-06	APP-2026-01066
orge	11.6	38612.0	silo_est	2026-03-27	APP-2026-01067
mais	12.6	37148.0	silo_nord	2026-02-05	APP-2026-01068
ble_tendre	15.3	14517.0	silo_ouest	2026-01-05	APP-2026-01069
ble_tendre	12.0	13694.0	silo_sud	2026-03-15	APP-2026-01070
mais	14.3	5826.0	silo_ouest	2026-04-28	APP-2026-01071
orge	13.3	3740.0	silo_sud	2026-05-18	APP-2026-01072
orge	11.0	16107.0	silo_est	2026-02-06	APP-2026-01073
ble_tendre	14.5	21746.0	silo_nord	2026-05-27	APP-2026-01074
orge	13.4	6046.0	silo_nord	2026-04-03	APP-2026-01075
mais	12.2	4959.0	silo_est	2026-05-01	APP-2026-01076
mais	10.8	19069.0	silo_sud	2026-01-05	APP-2026-01077
orge	14.3	37718.0	silo_est	2026-01-27	APP-2026-01078
ble_tendre	13.0	18853.0	silo_sud	2026-01-12	APP-2026-01079
orge	13.2	47137.0	silo_sud	2026-04-29	APP-2026-01080
ble_tendre	15.7	35222.0	silo_nord	2026-01-17	APP-2026-01081
mais	11.4	4971.0	silo_nord	2026-02-21	APP-2026-01082
mais	15.0	26192.0	silo_ouest	2026-03-21	APP-2026-01083
mais	11.4	36898.0	silo_est	2026-01-10	APP-2026-01084
ble_tendre	15.1	15295.0	silo_ouest	2026-03-26	APP-2026-01085
mais	12.2	43259.0	silo_sud	2026-04-23	APP-2026-01086
mais	14.1	19531.0	silo_est	2026-05-08	APP-2026-01087
ble_tendre	14.2	6552.0	silo_sud	2026-04-19	APP-2026-01088
orge	11.4	17455.0	silo_est	2026-03-17	APP-2026-01089
mais	12.4	30118.0	silo_ouest	2026-04-25	APP-2026-01090
mais	14.4	4906.0	silo_est	2026-04-25	APP-2026-01091
orge	15.4	15355.0	silo_nord	2026-04-22	APP-2026-01092
ble_tendre	15.1	19349.0	silo_sud	2026-04-14	APP-2026-01093
ble_tendre	14.6	41190.0	silo_ouest	2026-02-06	APP-2026-01094
ble_tendre	15.0	6026.0	silo_est	2026-02-02	APP-2026-01095
mais	10.6	45726.0	silo_sud	2026-04-09	APP-2026-01096
orge	12.7	45697.0	silo_nord	2026-04-26	APP-2026-01097
orge	12.8	26826.0	silo_est	2026-02-05	APP-2026-01098
ble_tendre	12.3	4166.0	silo_ouest	2026-01-30	APP-2026-01099
orge	12.2	14780.0	silo_ouest	2026-01-31	APP-2026-01100
ble_tendre	16.0	34229.0	silo_sud	2026-03-15	APP-2026-01101
ble_tendre	13.5	41377.0	silo_ouest	2026-02-04	APP-2026-01102
ble_tendre	14.7	33053.0	silo_est	2026-03-23	APP-2026-01103
mais	14.7	35031.0	silo_sud	2026-02-10	APP-2026-01104
mais	14.9	13091.0	silo_sud	2026-05-11	APP-2026-01105
ble_tendre	14.0	4183.0	silo_est	2026-05-07	APP-2026-01106
mais	14.5	8840.0	silo_nord	2026-05-22	APP-2026-01107
mais	13.7	47982.0	silo_ouest	2026-04-12	APP-2026-01108
mais	14.9	6319.0	silo_nord	2026-05-28	APP-2026-01109
mais	12.1	33605.0	silo_sud	2026-04-30	APP-2026-01110
ble_tendre	15.4	25629.0	silo_nord	2026-04-21	APP-2026-01111
orge	11.7	16686.0	silo_sud	2026-02-09	APP-2026-01112
mais	14.3	43272.0	silo_est	2026-05-13	APP-2026-01113
ble_tendre	14.3	15350.0	silo_nord	2026-05-22	APP-2026-01114
orge	13.6	29631.0	silo_sud	2026-02-13	APP-2026-01115
orge	13.5	40914.0	silo_nord	2026-03-28	APP-2026-01116
ble_tendre	15.0	45685.0	silo_est	2026-01-12	APP-2026-01117
orge	12.9	37513.0	silo_nord	2026-02-23	APP-2026-01118
mais	14.8	16035.0	silo_ouest	2026-05-20	APP-2026-01119
ble_tendre	11.8	16385.0	silo_nord	2026-04-14	APP-2026-01120
ble_tendre	13.6	21703.0	silo_est	2026-04-23	APP-2026-01121
orge	14.2	17066.0	silo_est	2026-02-06	APP-2026-01122
mais	12.8	37230.0	silo_nord	2026-02-03	APP-2026-01123
mais	11.7	23991.0	silo_sud	2026-03-03	APP-2026-01124
ble_tendre	15.8	5277.0	silo_ouest	2026-01-25	APP-2026-01125
ble_tendre	15.7	39607.0	silo_est	2026-02-10	APP-2026-01126
ble_tendre	13.8	25422.0	silo_ouest	2026-02-10	APP-2026-01127
mais	-14.8	4043.0	silo_ouest	2026-05-08	APP-2026-01128
ble_tendre	11.7	29250.0	silo_est	2026-02-25	APP-2026-01129
mais	10.5	15859.0	silo_nord	2026-05-01	APP-2026-01130
mais	13.8	42711.0	silo_ouest	2026-02-04	APP-2026-01131
mais	13.1	21026.0	silo_sud	2026-01-12	APP-2026-01132
mais	12.2	15987.0	silo_ouest	2026-05-22	APP-2026-01133
orge	13.8	40139.0	silo_nord	2026-03-13	APP-2026-01134
ble_tendre	15.1	20726.0	silo_est	2026-01-25	APP-2026-01135
orge	11.9	36973.0	silo_ouest	2026-04-04	APP-2026-01136
orge	11.6	5039.0	silo_est	2026-01-11	APP-2026-01137
mais	13.2	23564.0	silo_sud	2026-05-13	APP-2026-01138
mais	15.0	10313.0	silo_est	2026-03-23	APP-2026-01139
orge	13.3	25829.0	silo_ouest	2026-03-28	APP-2026-01140
orge	14.7	16491.0	silo_est	2026-05-25	APP-2026-01141
mais	13.1	47095.0	silo_nord	2026-01-29	APP-2026-01142
orge	14.0	14949.0	silo_sud	2026-05-02	APP-2026-01143
orge	11.8	29259.0	silo_ouest	2026-01-14	APP-2026-01144
ble_tendre	15.8	4421.0	silo_nord	2026-03-04	APP-2026-01145
ble_tendre	13.4	22847.0	silo_ouest	2026-01-05	APP-2026-01146
orge	14.5	21467.0	silo_ouest	2026-02-22	APP-2026-01147
orge	13.3	34760.0	silo_est	2026-01-16	APP-2026-01148
orge	12.4	26646.0	silo_sud	2026-05-03	APP-2026-01149
mais	12.1	18405.0	silo_est	2026-05-17	APP-2026-01150
orge	12.1	11652.0	silo_est	2026-05-04	APP-2026-01151
ble_tendre	14.7	37703.0	silo_ouest	2026-03-18	APP-2026-01152
mais	14.7	18696.0	silo_est	2026-05-03	APP-2026-01153
mais	12.9	28806.0	silo_ouest	2026-02-01	APP-2026-01154
mais	11.8	16070.0	silo_nord	2026-02-07	APP-2026-01155
mais	13.9	32519.0	silo_sud	2026-04-24	APP-2026-01156
ble_tendre	14.0	15201.0	silo_est	2026-05-18	APP-2026-01157
ble_tendre	14.1	30705.0	silo_sud	2026-01-28	APP-2026-01158
ble_tendre	12.5	13155.0	silo_nord	2026-05-16	APP-2026-01159
mais	11.0	35281.0	silo_sud	2026-03-26	APP-2026-01160
ble_tendre	12.2	47006.0	silo_ouest	2026-05-21	APP-2026-01161
mais	11.8	37016.0	silo_est	2026-02-21	APP-2026-01162
orge	11.4	43857.0	silo_sud	2026-01-16	APP-2026-01163
orge	11.8	44095.0	silo_sud	2026-01-10	APP-2026-01164
ble_tendre	12.3	38458.0	silo_est	2026-04-12	APP-2026-01165
ble_tendre	14.2	16428.0	silo_est	2026-01-03	APP-2026-01166
mais	12.9	47509.0	silo_ouest	2026-04-27	APP-2026-01167
ble_tendre	12.4	24061.0	silo_nord	2026-05-10	APP-2026-01168
mais	13.4	35900.0	silo_sud	2026-02-11	APP-2026-01169
ble_tendre	14.1	38585.0	silo_sud	2026-03-28	APP-2026-01170
ble_tendre	13.8	40215.0	silo_nord	2026-04-14	APP-2026-01171
mais	11.1	11315.0	silo_est	2026-01-25	APP-2026-01172
ble_tendre	12.6	14735.0	silo_est	2026-01-02	APP-2026-01173
mais	13.1	29211.0	silo_est	2026-03-19	APP-2026-01174
orge	11.3	34175.0	silo_nord	2026-04-03	APP-2026-01175
mais	13.6	10187.0	silo_est	2026-03-20	APP-2026-01176
orge	15.2	31742.0	silo_est	2026-01-31	APP-2026-01177
orge	11.6	12861.0	silo_sud	2026-02-26	APP-2026-01178
mais	13.0	21713.0	silo_ouest	2026-04-06	APP-2026-01179
orge	14.1	37284.0	silo_nord	2026-02-25	APP-2026-01180
orge	12.6	26768.0	silo_nord	2026-04-25	APP-2026-01181
ble_tendre	12.4	43630.0	silo_sud	2026-05-21	APP-2026-01182
ble_tendre	13.5	41452.0	silo_sud	2026-03-25	APP-2026-01183
orge	15.0	24997.0	silo_ouest	2026-05-30	APP-2026-01184
ble_tendre	13.4	8937.0	silo_nord	2026-04-27	APP-2026-01185
orge	12.4	33275.0	silo_nord	2026-04-29	APP-2026-01186
mais	13.9	39740.0	silo_nord	2026-03-07	APP-2026-01187
ble_tendre	11.8	18504.0	silo_nord	2026-04-19	APP-2026-01188
ble_tendre	13.3	4428.0	silo_sud	2026-05-01	APP-2026-01189
orge	15.0	19851.0	silo_ouest	2026-04-18	APP-2026-01190
mais	14.8	6611.0	silo_sud	2026-04-07	APP-2026-01191
orge	15.5	8338.0	silo_ouest	2026-03-31	APP-2026-01192
orge	12.0	35754.0	silo_nord	2026-02-02	APP-2026-01193
ble_tendre	14.7	23835.0	silo_ouest	2026-03-18	APP-2026-01194
orge	12.1	40051.0	silo_est	2026-04-08	APP-2026-01195
ble_tendre	15.4	11482.0	silo_nord	2026-03-12	APP-2026-01196
ble_tendre	15.7	30672.0	silo_nord	2026-04-18	APP-2026-01197
ble_tendre	14.2	6028.0	silo_ouest	2026-02-22	APP-2026-01198
orge	11.2	14013.0	silo_ouest	2026-01-13	APP-2026-01199
ble_tendre	15.4	12777.0	silo_nord	2026-05-19	APP-2026-01200
ble_tendre	12.6	47707.0	silo_est	2026-05-09	APP-2026-01201
orge	14.9	13661.0	silo_sud	2026-03-24	APP-2026-01202
mais	13.0	15382.0	silo_sud	2026-03-18	APP-2026-01203
orge	11.2	28013.0	silo_est	2026-04-20	APP-2026-01204
orge	12.4	38361.0	silo_ouest	2026-04-08	APP-2026-01205
mais	11.3	16495.0	silo_ouest	2026-02-08	APP-2026-01206
ble_tendre	14.7	16533.0	silo_ouest	2026-02-27	APP-2026-01207
ble_tendre	13.4	21570.0	silo_sud	2026-05-24	APP-2026-01208
mais	12.0	14475.0	silo_nord	2026-03-04	APP-2026-01209
mais	13.8	7161.0	silo_sud	2026-04-05	APP-2026-01210
ble_tendre	14.2	19973.0	silo_nord	2026-03-10	APP-2026-01211
ble_tendre	14.1	39209.0	silo_sud	2026-02-18	APP-2026-01212
mais	12.0	42126.0	silo_nord	2026-02-23	APP-2026-01213
ble_tendre	12.0	46293.0	silo_ouest	2026-02-18	APP-2026-01214
ble_tendre	12.6	20848.0	silo_est	2026-02-22	APP-2026-01215
mais	13.4	23981.0	silo_est	2026-04-08	APP-2026-01216
mais	12.7	26077.0	silo_nord	2026-04-03	APP-2026-01217
orge	12.4	37273.0	silo_sud	2026-05-01	APP-2026-01218
mais	13.0	21627.0	silo_sud	2026-03-22	APP-2026-01219
orge	13.5	3730.0	silo_ouest	2026-02-07	APP-2026-01220
mais	11.5	11829.0	silo_sud	2026-02-09	APP-2026-01221
mais	13.6	32457.0	silo_est	2026-05-21	APP-2026-01222
mais	13.8	23737.0	silo_est	2026-05-06	APP-2026-01223
ble_tendre	13.7	35414.0	silo_nord	2026-02-05	APP-2026-01224
orge	11.3	40758.0	silo_nord	2026-01-09	APP-2026-01225
ble_tendre	14.3	9187.0	silo_nord	2026-04-16	APP-2026-01226
orge	13.3	3411.0	silo_est	2026-02-08	APP-2026-01227
ble_tendre	11.6	32668.0	silo_ouest	2026-05-04	APP-2026-01228
ble_tendre	12.7	26824.0	silo_est	2026-01-05	APP-2026-01229
ble_tendre	14.5	39592.0	silo_sud	2026-05-09	APP-2026-01230
ble_tendre	12.6	26597.0	silo_est	2026-01-25	APP-2026-01231
mais	10.9	38772.0	silo_ouest	2026-03-10	APP-2026-01232
mais	13.6	13944.0	silo_est	2026-05-25	APP-2026-01233
orge	14.9	32418.0	silo_nord	2026-01-21	APP-2026-01234
ble_tendre	14.0	20067.0	silo_nord	2026-04-14	APP-2026-01235
orge	11.4	34628.0	silo_ouest	2026-01-03	APP-2026-01236
orge	14.9	28464.0	silo_nord	2026-03-26	APP-2026-01237
orge	15.1	13339.0	silo_ouest	2026-01-11	APP-2026-01238
mais	13.6	44587.0	silo_est	2026-01-12	APP-2026-01239
orge	11.8	32615.0	silo_est	2026-05-25	APP-2026-01240
ble_tendre	14.9	29417.0	silo_ouest	2026-02-23	APP-2026-01241
ble_tendre	12.6	10310.0	silo_ouest	2026-03-18	APP-2026-01242
orge	14.4	17928.0	silo_sud	2026-05-19	APP-2026-01243
orge	15.4	25536.0	silo_nord	2026-01-21	APP-2026-01244
ble_tendre	11.8	13446.0	silo_ouest	2026-04-22	APP-2026-01245
mais	14.0	31536.0	silo_ouest	2026-01-08	APP-2026-01246
mais	14.7	19012.0	silo_ouest	2026-02-28	APP-2026-01247
ble_tendre	11.9	32730.0	silo_est	2026-05-30	APP-2026-01248
ble_tendre	12.2	6692.0	silo_sud	2026-01-19	APP-2026-01249
